 sexo,Question,Percentage,grupo_edad
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.0130395097144347","76-80"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.946372239747634","11-15"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.31230283911672","16-20"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","6.94006309148265","21-25"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","9.62145110410095","26-30"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","9.77917981072555","31-35"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","8.51735015772871","36-40"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","7.57097791798107","41-45"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","4.10094637223975","46-50"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","2.05047318611987","51-55"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.946372239747634","56-60"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.10410094637224","61-65"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.315457413249211","66-70"
"Hombre","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.315457413249211","71-75"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.26182965299685","11-15"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","2.99684542586751","16-20"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","6.15141955835962","21-25"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","7.57097791798107","26-30"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","9.14826498422713","31-35"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","7.88643533123028","36-40"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","5.04731861198738","41-45"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.89274447949527","46-50"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.57728706624606","51-55"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.473186119873817","56-60"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.315457413249211","61-65"
"Mujer","Dio terapia especial o ayudó a realizar ejercicios algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.157728706624606","66-70"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.63331530557058","11-15"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.18009734991887","16-20"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.35316387236344","21-25"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","6.79286100594916","26-30"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","8.31800973499189","31-35"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","8.62087614926988","36-40"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","6.53326122228231","41-45"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.83991346673878","46-50"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","2.15251487290427","51-55"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.1790156841536","56-60"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.454299621416982","61-65"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.194699837750135","66-70"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.075716603569497","71-75"
"Hombre","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.0108166576527853","81-85"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.995132504056247","11-15"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","2.48783126014062","16-20"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","5.28934559221201","21-25"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","10.3082747431044","26-30"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","11.790156841536","31-35"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","10.3839913466739","36-40"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","7.04164413196322","41-45"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.16928069226609","46-50"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.1790156841536","51-55"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.530016224986479","56-60"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.335316387236344","61-65"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.0973499188750676","66-70"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.0432666306111412","71-75"
"Mujer","Ayudó en las tareas de la escuela a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.0108166576527853","76-80"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.52132701421801","11-15"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.37440758293839","16-20"
