 pob,año,sexo,alcaldia,grupo_edad
"11430","2015","Mujeres","Azcapotzalco","00-04"
"11021","2016","Mujeres","Azcapotzalco","00-04"
"10675","2017","Mujeres","Azcapotzalco","00-04"
"10368","2018","Mujeres","Azcapotzalco","00-04"
"10102","2019","Mujeres","Azcapotzalco","00-04"
"9878","2020","Mujeres","Azcapotzalco","00-04"
"9670","2021","Mujeres","Azcapotzalco","00-04"
"9468","2022","Mujeres","Azcapotzalco","00-04"
"9287","2023","Mujeres","Azcapotzalco","00-04"
"9126","2024","Mujeres","Azcapotzalco","00-04"
"8983","2025","Mujeres","Azcapotzalco","00-04"
"8859","2026","Mujeres","Azcapotzalco","00-04"
"8753","2027","Mujeres","Azcapotzalco","00-04"
"8664","2028","Mujeres","Azcapotzalco","00-04"
"8593","2029","Mujeres","Azcapotzalco","00-04"
"8537","2030","Mujeres","Azcapotzalco","00-04"
"15777","2015","Mujeres","Coyoacán","00-04"
"15193","2016","Mujeres","Coyoacán","00-04"
"14693","2017","Mujeres","Coyoacán","00-04"
"14246","2018","Mujeres","Coyoacán","00-04"
"13854","2019","Mujeres","Coyoacán","00-04"
"13521","2020","Mujeres","Coyoacán","00-04"
"13211","2021","Mujeres","Coyoacán","00-04"
"12911","2022","Mujeres","Coyoacán","00-04"
"12642","2023","Mujeres","Coyoacán","00-04"
"12404","2024","Mujeres","Coyoacán","00-04"
"12197","2025","Mujeres","Coyoacán","00-04"
"12020","2026","Mujeres","Coyoacán","00-04"
"11874","2027","Mujeres","Coyoacán","00-04"
"11758","2028","Mujeres","Coyoacán","00-04"
"11674","2029","Mujeres","Coyoacán","00-04"
"11620","2030","Mujeres","Coyoacán","00-04"
"7436","2015","Mujeres","Cuajimalpa de Morelos","00-04"
"7316","2016","Mujeres","Cuajimalpa de Morelos","00-04"
"7218","2017","Mujeres","Cuajimalpa de Morelos","00-04"
"7127","2018","Mujeres","Cuajimalpa de Morelos","00-04"
"7045","2019","Mujeres","Cuajimalpa de Morelos","00-04"
"6972","2020","Mujeres","Cuajimalpa de Morelos","00-04"
"6889","2021","Mujeres","Cuajimalpa de Morelos","00-04"
"6788","2022","Mujeres","Cuajimalpa de Morelos","00-04"
"6678","2023","Mujeres","Cuajimalpa de Morelos","00-04"
"6557","2024","Mujeres","Cuajimalpa de Morelos","00-04"
"6425","2025","Mujeres","Cuajimalpa de Morelos","00-04"
"6279","2026","Mujeres","Cuajimalpa de Morelos","00-04"
"6120","2027","Mujeres","Cuajimalpa de Morelos","00-04"
"5944","2028","Mujeres","Cuajimalpa de Morelos","00-04"
"5753","2029","Mujeres","Cuajimalpa de Morelos","00-04"
"5548","2030","Mujeres","Cuajimalpa de Morelos","00-04"
"36643","2015","Mujeres","Gustavo A. Madero","00-04"
"35481","2016","Mujeres","Gustavo A. Madero","00-04"
"34497","2017","Mujeres","Gustavo A. Madero","00-04"
"33621","2018","Mujeres","Gustavo A. Madero","00-04"
"32856","2019","Mujeres","Gustavo A. Madero","00-04"
"32209","2020","Mujeres","Gustavo A. Madero","00-04"
"31590","2021","Mujeres","Gustavo A. Madero","00-04"
"30970","2022","Mujeres","Gustavo A. Madero","00-04"
"30394","2023","Mujeres","Gustavo A. Madero","00-04"
"29858","2024","Mujeres","Gustavo A. Madero","00-04"
"29360","2025","Mujeres","Gustavo A. Madero","00-04"
"28895","2026","Mujeres","Gustavo A. Madero","00-04"
"28463","2027","Mujeres","Gustavo A. Madero","00-04"
"28061","2028","Mujeres","Gustavo A. Madero","00-04"
"27689","2029","Mujeres","Gustavo A. Madero","00-04"
"27343","2030","Mujeres","Gustavo A. Madero","00-04"
"11453","2015","Mujeres","Iztacalco","00-04"
"11083","2016","Mujeres","Iztacalco","00-04"
"10772","2017","Mujeres","Iztacalco","00-04"
"10499","2018","Mujeres","Iztacalco","00-04"
"10265","2019","Mujeres","Iztacalco","00-04"
"10070","2020","Mujeres","Iztacalco","00-04"
"9886","2021","Mujeres","Iztacalco","00-04"
"9703","2022","Mujeres","Iztacalco","00-04"
"9537","2023","Mujeres","Iztacalco","00-04"
"9383","2024","Mujeres","Iztacalco","00-04"
"9242","2025","Mujeres","Iztacalco","00-04"
"9112","2026","Mujeres","Iztacalco","00-04"
"8991","2027","Mujeres","Iztacalco","00-04"
"8879","2028","Mujeres","Iztacalco","00-04"
"8775","2029","Mujeres","Iztacalco","00-04"
"8677","2030","Mujeres","Iztacalco","00-04"
"65796","2015","Mujeres","Iztapalapa","00-04"
"63758","2016","Mujeres","Iztapalapa","00-04"
"62000","2017","Mujeres","Iztapalapa","00-04"
"60400","2018","Mujeres","Iztapalapa","00-04"
"58971","2019","Mujeres","Iztapalapa","00-04"
"57736","2020","Mujeres","Iztapalapa","00-04"
"56530","2021","Mujeres","Iztapalapa","00-04"
"55310","2022","Mujeres","Iztapalapa","00-04"
"54165","2023","Mujeres","Iztapalapa","00-04"
"53092","2024","Mujeres","Iztapalapa","00-04"
"52089","2025","Mujeres","Iztapalapa","00-04"
"51159","2026","Mujeres","Iztapalapa","00-04"
"50306","2027","Mujeres","Iztapalapa","00-04"
"49530","2028","Mujeres","Iztapalapa","00-04"
"48839","2029","Mujeres","Iztapalapa","00-04"
"48229","2030","Mujeres","Iztapalapa","00-04"
"8417","2015","Mujeres","La Magdalena Contreras","00-04"
"8227","2016","Mujeres","La Magdalena Contreras","00-04"
"8068","2017","Mujeres","La Magdalena Contreras","00-04"
"7924","2018","Mujeres","La Magdalena Contreras","00-04"
"7795","2019","Mujeres","La Magdalena Contreras","00-04"
"7682","2020","Mujeres","La Magdalena Contreras","00-04"
"7565","2021","Mujeres","La Magdalena Contreras","00-04"
"7435","2022","Mujeres","La Magdalena Contreras","00-04"
"7304","2023","Mujeres","La Magdalena Contreras","00-04"
"7169","2024","Mujeres","La Magdalena Contreras","00-04"
"7029","2025","Mujeres","La Magdalena Contreras","00-04"
"6884","2026","Mujeres","La Magdalena Contreras","00-04"
"6732","2027","Mujeres","La Magdalena Contreras","00-04"
"6574","2028","Mujeres","La Magdalena Contreras","00-04"
"6408","2029","Mujeres","La Magdalena Contreras","00-04"
"6235","2030","Mujeres","La Magdalena Contreras","00-04"
"5679","2015","Mujeres","Milpa Alta","00-04"
"5622","2016","Mujeres","Milpa Alta","00-04"
"5579","2017","Mujeres","Milpa Alta","00-04"
"5538","2018","Mujeres","Milpa Alta","00-04"
"5499","2019","Mujeres","Milpa Alta","00-04"
"5464","2020","Mujeres","Milpa Alta","00-04"
"5416","2021","Mujeres","Milpa Alta","00-04"
"5351","2022","Mujeres","Milpa Alta","00-04"
"5275","2023","Mujeres","Milpa Alta","00-04"
"5186","2024","Mujeres","Milpa Alta","00-04"
"5083","2025","Mujeres","Milpa Alta","00-04"
"4965","2026","Mujeres","Milpa Alta","00-04"
"4831","2027","Mujeres","Milpa Alta","00-04"
"4683","2028","Mujeres","Milpa Alta","00-04"
"4516","2029","Mujeres","Milpa Alta","00-04"
"4332","2030","Mujeres","Milpa Alta","00-04"
"24071","2015","Mujeres","Álvaro Obregón","00-04"
"23492","2016","Mujeres","Álvaro Obregón","00-04"
"23007","2017","Mujeres","Álvaro Obregón","00-04"
"22570","2018","Mujeres","Álvaro Obregón","00-04"
"22183","2019","Mujeres","Álvaro Obregón","00-04"
"21851","2020","Mujeres","Álvaro Obregón","00-04"
"21509","2021","Mujeres","Álvaro Obregón","00-04"
"21139","2022","Mujeres","Álvaro Obregón","00-04"
"20767","2023","Mujeres","Álvaro Obregón","00-04"
"20391","2024","Mujeres","Álvaro Obregón","00-04"
"20006","2025","Mujeres","Álvaro Obregón","00-04"
"19610","2026","Mujeres","Álvaro Obregón","00-04"
"19199","2027","Mujeres","Álvaro Obregón","00-04"
"18773","2028","Mujeres","Álvaro Obregón","00-04"
"18329","2029","Mujeres","Álvaro Obregón","00-04"
"17868","2030","Mujeres","Álvaro Obregón","00-04"
"13848","2015","Mujeres","Tláhuac","00-04"
"13464","2016","Mujeres","Tláhuac","00-04"
"13128","2017","Mujeres","Tláhuac","00-04"
"12814","2018","Mujeres","Tláhuac","00-04"
"12528","2019","Mujeres","Tláhuac","00-04"
"12273","2020","Mujeres","Tláhuac","00-04"
"12015","2021","Mujeres","Tláhuac","00-04"
"11746","2022","Mujeres","Tláhuac","00-04"
"11484","2023","Mujeres","Tláhuac","00-04"
"11230","2024","Mujeres","Tláhuac","00-04"
"10983","2025","Mujeres","Tláhuac","00-04"
"10745","2026","Mujeres","Tláhuac","00-04"
"10517","2027","Mujeres","Tláhuac","00-04"
"10302","2028","Mujeres","Tláhuac","00-04"
"10099","2029","Mujeres","Tláhuac","00-04"
"9911","2030","Mujeres","Tláhuac","00-04"
"21773","2015","Mujeres","Tlalpan","00-04"
"21310","2016","Mujeres","Tlalpan","00-04"
"20923","2017","Mujeres","Tlalpan","00-04"
"20571","2018","Mujeres","Tlalpan","00-04"
"20257","2019","Mujeres","Tlalpan","00-04"
"19983","2020","Mujeres","Tlalpan","00-04"
"19693","2021","Mujeres","Tlalpan","00-04"
"19368","2022","Mujeres","Tlalpan","00-04"
"19033","2023","Mujeres","Tlalpan","00-04"
"18685","2024","Mujeres","Tlalpan","00-04"
"18321","2025","Mujeres","Tlalpan","00-04"
"17938","2026","Mujeres","Tlalpan","00-04"
"17534","2027","Mujeres","Tlalpan","00-04"
"17106","2028","Mujeres","Tlalpan","00-04"
"16655","2029","Mujeres","Tlalpan","00-04"
"16179","2030","Mujeres","Tlalpan","00-04"
"14905","2015","Mujeres","Xochimilco","00-04"
"14543","2016","Mujeres","Xochimilco","00-04"
"14234","2017","Mujeres","Xochimilco","00-04"
"13950","2018","Mujeres","Xochimilco","00-04"
"13695","2019","Mujeres","Xochimilco","00-04"
"13472","2020","Mujeres","Xochimilco","00-04"
"13244","2021","Mujeres","Xochimilco","00-04"
"13000","2022","Mujeres","Xochimilco","00-04"
"12760","2023","Mujeres","Xochimilco","00-04"
"12521","2024","Mujeres","Xochimilco","00-04"
"12284","2025","Mujeres","Xochimilco","00-04"
"12048","2026","Mujeres","Xochimilco","00-04"
"11814","2027","Mujeres","Xochimilco","00-04"
"11581","2028","Mujeres","Xochimilco","00-04"
"11350","2029","Mujeres","Xochimilco","00-04"
"11122","2030","Mujeres","Xochimilco","00-04"
"8492","2015","Mujeres","Benito Juárez","00-04"
"8382","2016","Mujeres","Benito Juárez","00-04"
"8304","2017","Mujeres","Benito Juárez","00-04"
"8241","2018","Mujeres","Benito Juárez","00-04"
"8192","2019","Mujeres","Benito Juárez","00-04"
"8156","2020","Mujeres","Benito Juárez","00-04"
"8110","2021","Mujeres","Benito Juárez","00-04"
"8041","2022","Mujeres","Benito Juárez","00-04"
"7958","2023","Mujeres","Benito Juárez","00-04"
"7858","2024","Mujeres","Benito Juárez","00-04"
"7737","2025","Mujeres","Benito Juárez","00-04"
"7590","2026","Mujeres","Benito Juárez","00-04"
"7414","2027","Mujeres","Benito Juárez","00-04"
"7207","2028","Mujeres","Benito Juárez","00-04"
"6965","2029","Mujeres","Benito Juárez","00-04"
"6688","2030","Mujeres","Benito Juárez","00-04"
"14444","2015","Mujeres","Cuauhtémoc","00-04"
"14128","2016","Mujeres","Cuauhtémoc","00-04"
"13874","2017","Mujeres","Cuauhtémoc","00-04"
"13652","2018","Mujeres","Cuauhtémoc","00-04"
"13462","2019","Mujeres","Cuauhtémoc","00-04"
"13305","2020","Mujeres","Cuauhtémoc","00-04"
"13141","2021","Mujeres","Cuauhtémoc","00-04"
"12954","2022","Mujeres","Cuauhtémoc","00-04"
"12760","2023","Mujeres","Cuauhtémoc","00-04"
"12554","2024","Mujeres","Cuauhtémoc","00-04"
"12332","2025","Mujeres","Cuauhtémoc","00-04"
"12089","2026","Mujeres","Cuauhtémoc","00-04"
"11822","2027","Mujeres","Cuauhtémoc","00-04"
"11529","2028","Mujeres","Cuauhtémoc","00-04"
"11205","2029","Mujeres","Cuauhtémoc","00-04"
"10849","2030","Mujeres","Cuauhtémoc","00-04"
"9774","2015","Mujeres","Miguel Hidalgo","00-04"
"9595","2016","Mujeres","Miguel Hidalgo","00-04"
"9453","2017","Mujeres","Miguel Hidalgo","00-04"
"9330","2018","Mujeres","Miguel Hidalgo","00-04"
"9226","2019","Mujeres","Miguel Hidalgo","00-04"
"9139","2020","Mujeres","Miguel Hidalgo","00-04"
"9044","2021","Mujeres","Miguel Hidalgo","00-04"
"8930","2022","Mujeres","Miguel Hidalgo","00-04"
"8806","2023","Mujeres","Miguel Hidalgo","00-04"
"8669","2024","Mujeres","Miguel Hidalgo","00-04"
"8517","2025","Mujeres","Miguel Hidalgo","00-04"
"8346","2026","Mujeres","Miguel Hidalgo","00-04"
"8154","2027","Mujeres","Miguel Hidalgo","00-04"
"7937","2028","Mujeres","Miguel Hidalgo","00-04"
"7695","2029","Mujeres","Miguel Hidalgo","00-04"
"7426","2030","Mujeres","Miguel Hidalgo","00-04"
"12596","2015","Mujeres","Venustiano Carranza","00-04"
"12199","2016","Mujeres","Venustiano Carranza","00-04"
"11868","2017","Mujeres","Venustiano Carranza","00-04"
"11577","2018","Mujeres","Venustiano Carranza","00-04"
"11327","2019","Mujeres","Venustiano Carranza","00-04"
"11120","2020","Mujeres","Venustiano Carranza","00-04"
"10923","2021","Mujeres","Venustiano Carranza","00-04"
"10726","2022","Mujeres","Venustiano Carranza","00-04"
"10544","2023","Mujeres","Venustiano Carranza","00-04"
"10374","2024","Mujeres","Venustiano Carranza","00-04"
"10216","2025","Mujeres","Venustiano Carranza","00-04"
"10065","2026","Mujeres","Venustiano Carranza","00-04"
"9922","2027","Mujeres","Venustiano Carranza","00-04"
"9785","2028","Mujeres","Venustiano Carranza","00-04"
"9652","2029","Mujeres","Venustiano Carranza","00-04"
"9522","2030","Mujeres","Venustiano Carranza","00-04"
"11695","2015","Hombres","Azcapotzalco","00-04"
"11273","2016","Hombres","Azcapotzalco","00-04"
"10938","2017","Hombres","Azcapotzalco","00-04"
"10640","2018","Hombres","Azcapotzalco","00-04"
"10383","2019","Hombres","Azcapotzalco","00-04"
"10164","2020","Hombres","Azcapotzalco","00-04"
"9948","2021","Hombres","Azcapotzalco","00-04"
"9727","2022","Hombres","Azcapotzalco","00-04"
"9526","2023","Hombres","Azcapotzalco","00-04"
"9344","2024","Hombres","Azcapotzalco","00-04"
"9182","2025","Hombres","Azcapotzalco","00-04"
"9039","2026","Hombres","Azcapotzalco","00-04"
"8914","2027","Hombres","Azcapotzalco","00-04"
"8807","2028","Hombres","Azcapotzalco","00-04"
"8718","2029","Hombres","Azcapotzalco","00-04"
"8644","2030","Hombres","Azcapotzalco","00-04"
"16369","2015","Hombres","Coyoacán","00-04"
"15777","2016","Hombres","Coyoacán","00-04"
"15304","2017","Hombres","Coyoacán","00-04"
"14883","2018","Hombres","Coyoacán","00-04"
"14517","2019","Hombres","Coyoacán","00-04"
"14207","2020","Hombres","Coyoacán","00-04"
"13900","2021","Hombres","Coyoacán","00-04"
"13588","2022","Hombres","Coyoacán","00-04"
"13307","2023","Hombres","Coyoacán","00-04"
"13057","2024","Hombres","Coyoacán","00-04"
"12838","2025","Hombres","Coyoacán","00-04"
"12650","2026","Hombres","Coyoacán","00-04"
"12494","2027","Hombres","Coyoacán","00-04"
"12369","2028","Hombres","Coyoacán","00-04"
"12275","2029","Hombres","Coyoacán","00-04"
"12211","2030","Hombres","Coyoacán","00-04"
"7514","2015","Hombres","Cuajimalpa de Morelos","00-04"
"7387","2016","Hombres","Cuajimalpa de Morelos","00-04"
"7297","2017","Hombres","Cuajimalpa de Morelos","00-04"
"7216","2018","Hombres","Cuajimalpa de Morelos","00-04"
"7143","2019","Hombres","Cuajimalpa de Morelos","00-04"
"7078","2020","Hombres","Cuajimalpa de Morelos","00-04"
"6994","2021","Hombres","Cuajimalpa de Morelos","00-04"
"6886","2022","Hombres","Cuajimalpa de Morelos","00-04"
"6770","2023","Hombres","Cuajimalpa de Morelos","00-04"
"6644","2024","Hombres","Cuajimalpa de Morelos","00-04"
"6508","2025","Hombres","Cuajimalpa de Morelos","00-04"
"6361","2026","Hombres","Cuajimalpa de Morelos","00-04"
"6202","2027","Hombres","Cuajimalpa de Morelos","00-04"
"6030","2028","Hombres","Cuajimalpa de Morelos","00-04"
"5845","2029","Hombres","Cuajimalpa de Morelos","00-04"
"5646","2030","Hombres","Cuajimalpa de Morelos","00-04"
"37535","2015","Hombres","Gustavo A. Madero","00-04"
"36359","2016","Hombres","Gustavo A. Madero","00-04"
"35444","2017","Hombres","Gustavo A. Madero","00-04"
"34638","2018","Hombres","Gustavo A. Madero","00-04"
"33943","2019","Hombres","Gustavo A. Madero","00-04"
"33359","2020","Hombres","Gustavo A. Madero","00-04"
"32764","2021","Hombres","Gustavo A. Madero","00-04"
"32132","2022","Hombres","Gustavo A. Madero","00-04"
"31546","2023","Hombres","Gustavo A. Madero","00-04"
"31002","2024","Hombres","Gustavo A. Madero","00-04"
"30499","2025","Hombres","Gustavo A. Madero","00-04"
"30034","2026","Hombres","Gustavo A. Madero","00-04"
"29606","2027","Hombres","Gustavo A. Madero","00-04"
"29211","2028","Hombres","Gustavo A. Madero","00-04"
"28847","2029","Hombres","Gustavo A. Madero","00-04"
"28510","2030","Hombres","Gustavo A. Madero","00-04"
"11512","2015","Hombres","Iztacalco","00-04"
"11125","2016","Hombres","Iztacalco","00-04"
"10821","2017","Hombres","Iztacalco","00-04"
"10555","2018","Hombres","Iztacalco","00-04"
"10325","2019","Hombres","Iztacalco","00-04"
"10132","2020","Hombres","Iztacalco","00-04"
"9937","2021","Hombres","Iztacalco","00-04"
"9735","2022","Hombres","Iztacalco","00-04"
"9548","2023","Hombres","Iztacalco","00-04"
"9377","2024","Hombres","Iztacalco","00-04"
"9219","2025","Hombres","Iztacalco","00-04"
"9075","2026","Hombres","Iztacalco","00-04"
"8944","2027","Hombres","Iztacalco","00-04"
"8824","2028","Hombres","Iztacalco","00-04"
"8714","2029","Hombres","Iztacalco","00-04"
"8613","2030","Hombres","Iztacalco","00-04"
"68595","2015","Hombres","Iztapalapa","00-04"
"66592","2016","Hombres","Iztapalapa","00-04"
"65024","2017","Hombres","Iztapalapa","00-04"
"63607","2018","Hombres","Iztapalapa","00-04"
"62354","2019","Hombres","Iztapalapa","00-04"
"61275","2020","Hombres","Iztapalapa","00-04"
"60142","2021","Hombres","Iztapalapa","00-04"
"58910","2022","Hombres","Iztapalapa","00-04"
"57747","2023","Hombres","Iztapalapa","00-04"
"56642","2024","Hombres","Iztapalapa","00-04"
"55597","2025","Hombres","Iztapalapa","00-04"
"54618","2026","Hombres","Iztapalapa","00-04"
"53700","2027","Hombres","Iztapalapa","00-04"
"52848","2028","Hombres","Iztapalapa","00-04"
"52059","2029","Hombres","Iztapalapa","00-04"
"51337","2030","Hombres","Iztapalapa","00-04"
"8422","2015","Hombres","La Magdalena Contreras","00-04"
"8210","2016","Hombres","La Magdalena Contreras","00-04"
"8048","2017","Hombres","La Magdalena Contreras","00-04"
"7901","2018","Hombres","La Magdalena Contreras","00-04"
"7771","2019","Hombres","La Magdalena Contreras","00-04"
"7657","2020","Hombres","La Magdalena Contreras","00-04"
"7532","2021","Hombres","La Magdalena Contreras","00-04"
"7390","2022","Hombres","La Magdalena Contreras","00-04"
"7249","2023","Hombres","La Magdalena Contreras","00-04"
"7108","2024","Hombres","La Magdalena Contreras","00-04"
"6968","2025","Hombres","La Magdalena Contreras","00-04"
"6828","2026","Hombres","La Magdalena Contreras","00-04"
"6688","2027","Hombres","La Magdalena Contreras","00-04"
"6546","2028","Hombres","La Magdalena Contreras","00-04"
"6404","2029","Hombres","La Magdalena Contreras","00-04"
"6260","2030","Hombres","La Magdalena Contreras","00-04"
"5702","2015","Hombres","Milpa Alta","00-04"
"5636","2016","Hombres","Milpa Alta","00-04"
"5595","2017","Hombres","Milpa Alta","00-04"
"5556","2018","Hombres","Milpa Alta","00-04"
"5520","2019","Hombres","Milpa Alta","00-04"
"5486","2020","Hombres","Milpa Alta","00-04"
"5434","2021","Hombres","Milpa Alta","00-04"
"5359","2022","Hombres","Milpa Alta","00-04"
"5274","2023","Hombres","Milpa Alta","00-04"
"5177","2024","Hombres","Milpa Alta","00-04"
"5068","2025","Hombres","Milpa Alta","00-04"
"4945","2026","Hombres","Milpa Alta","00-04"
"4809","2027","Hombres","Milpa Alta","00-04"
"4659","2028","Hombres","Milpa Alta","00-04"
"4494","2029","Hombres","Milpa Alta","00-04"
"4315","2030","Hombres","Milpa Alta","00-04"
"24221","2015","Hombres","Álvaro Obregón","00-04"
"23598","2016","Hombres","Álvaro Obregón","00-04"
"23123","2017","Hombres","Álvaro Obregón","00-04"
"22697","2018","Hombres","Álvaro Obregón","00-04"
"22321","2019","Hombres","Álvaro Obregón","00-04"
"21995","2020","Hombres","Álvaro Obregón","00-04"
"21637","2021","Hombres","Álvaro Obregón","00-04"
"21231","2022","Hombres","Álvaro Obregón","00-04"
"20828","2023","Hombres","Álvaro Obregón","00-04"
"20427","2024","Hombres","Álvaro Obregón","00-04"
"20025","2025","Hombres","Álvaro Obregón","00-04"
"19620","2026","Hombres","Álvaro Obregón","00-04"
"19210","2027","Hombres","Álvaro Obregón","00-04"
"18795","2028","Hombres","Álvaro Obregón","00-04"
"18372","2029","Hombres","Álvaro Obregón","00-04"
"17939","2030","Hombres","Álvaro Obregón","00-04"
"14372","2015","Hombres","Tláhuac","00-04"
"14009","2016","Hombres","Tláhuac","00-04"
"13724","2017","Hombres","Tláhuac","00-04"
"13460","2018","Hombres","Tláhuac","00-04"
"13220","2019","Hombres","Tláhuac","00-04"
"13006","2020","Hombres","Tláhuac","00-04"
"12770","2021","Hombres","Tláhuac","00-04"
"12506","2022","Hombres","Tláhuac","00-04"
"12245","2023","Hombres","Tláhuac","00-04"
"11989","2024","Hombres","Tláhuac","00-04"
"11738","2025","Hombres","Tláhuac","00-04"
"11492","2026","Hombres","Tláhuac","00-04"
"11254","2027","Hombres","Tláhuac","00-04"
"11024","2028","Hombres","Tláhuac","00-04"
"10802","2029","Hombres","Tláhuac","00-04"
"10590","2030","Hombres","Tláhuac","00-04"
"22271","2015","Hombres","Tlalpan","00-04"
"21796","2016","Hombres","Tlalpan","00-04"
"21446","2017","Hombres","Tlalpan","00-04"
"21130","2018","Hombres","Tlalpan","00-04"
"20850","2019","Hombres","Tlalpan","00-04"
"20605","2020","Hombres","Tlalpan","00-04"
"20318","2021","Hombres","Tlalpan","00-04"
"19972","2022","Hombres","Tlalpan","00-04"
"19618","2023","Hombres","Tlalpan","00-04"
"19250","2024","Hombres","Tlalpan","00-04"
"18868","2025","Hombres","Tlalpan","00-04"
"18469","2026","Hombres","Tlalpan","00-04"
"18051","2027","Hombres","Tlalpan","00-04"
"17612","2028","Hombres","Tlalpan","00-04"
"17151","2029","Hombres","Tlalpan","00-04"
"16666","2030","Hombres","Tlalpan","00-04"
"15425","2015","Hombres","Xochimilco","00-04"
"15043","2016","Hombres","Xochimilco","00-04"
"14748","2017","Hombres","Xochimilco","00-04"
"14479","2018","Hombres","Xochimilco","00-04"
"14238","2019","Hombres","Xochimilco","00-04"
"14026","2020","Hombres","Xochimilco","00-04"
"13793","2021","Hombres","Xochimilco","00-04"
"13529","2022","Hombres","Xochimilco","00-04"
"13270","2023","Hombres","Xochimilco","00-04"
"13015","2024","Hombres","Xochimilco","00-04"
"12765","2025","Hombres","Xochimilco","00-04"
"12518","2026","Hombres","Xochimilco","00-04"
"12277","2027","Hombres","Xochimilco","00-04"
"12041","2028","Hombres","Xochimilco","00-04"
"11810","2029","Hombres","Xochimilco","00-04"
"11585","2030","Hombres","Xochimilco","00-04"
"8931","2015","Hombres","Benito Juárez","00-04"
"8826","2016","Hombres","Benito Juárez","00-04"
"8774","2017","Hombres","Benito Juárez","00-04"
"8737","2018","Hombres","Benito Juárez","00-04"
"8713","2019","Hombres","Benito Juárez","00-04"
"8701","2020","Hombres","Benito Juárez","00-04"
"8665","2021","Hombres","Benito Juárez","00-04"
"8596","2022","Hombres","Benito Juárez","00-04"
"8511","2023","Hombres","Benito Juárez","00-04"
"8406","2024","Hombres","Benito Juárez","00-04"
"8279","2025","Hombres","Benito Juárez","00-04"
"8124","2026","Hombres","Benito Juárez","00-04"
"7940","2027","Hombres","Benito Juárez","00-04"
"7721","2028","Hombres","Benito Juárez","00-04"
"7467","2029","Hombres","Benito Juárez","00-04"
"7173","2030","Hombres","Benito Juárez","00-04"
"14836","2015","Hombres","Cuauhtémoc","00-04"
"14508","2016","Hombres","Cuauhtémoc","00-04"
"14275","2017","Hombres","Cuauhtémoc","00-04"
"14075","2018","Hombres","Cuauhtémoc","00-04"
"13908","2019","Hombres","Cuauhtémoc","00-04"
"13771","2020","Hombres","Cuauhtémoc","00-04"
"13610","2021","Hombres","Cuauhtémoc","00-04"
"13413","2022","Hombres","Cuauhtémoc","00-04"
"13209","2023","Hombres","Cuauhtémoc","00-04"
"12994","2024","Hombres","Cuauhtémoc","00-04"
"12765","2025","Hombres","Cuauhtémoc","00-04"
"12517","2026","Hombres","Cuauhtémoc","00-04"
"12248","2027","Hombres","Cuauhtémoc","00-04"
"11953","2028","Hombres","Cuauhtémoc","00-04"
"11631","2029","Hombres","Cuauhtémoc","00-04"
"11277","2030","Hombres","Cuauhtémoc","00-04"
"10153","2015","Hombres","Miguel Hidalgo","00-04"
"9981","2016","Hombres","Miguel Hidalgo","00-04"
"9869","2017","Hombres","Miguel Hidalgo","00-04"
"9775","2018","Hombres","Miguel Hidalgo","00-04"
"9698","2019","Hombres","Miguel Hidalgo","00-04"
"9637","2020","Hombres","Miguel Hidalgo","00-04"
"9552","2021","Hombres","Miguel Hidalgo","00-04"
"9435","2022","Hombres","Miguel Hidalgo","00-04"
"9307","2023","Hombres","Miguel Hidalgo","00-04"
"9163","2024","Hombres","Miguel Hidalgo","00-04"
"9001","2025","Hombres","Miguel Hidalgo","00-04"
"8817","2026","Hombres","Miguel Hidalgo","00-04"
"8609","2027","Hombres","Miguel Hidalgo","00-04"
"8374","2028","Hombres","Miguel Hidalgo","00-04"
"8110","2029","Hombres","Miguel Hidalgo","00-04"
"7815","2030","Hombres","Miguel Hidalgo","00-04"
"13082","2015","Hombres","Venustiano Carranza","00-04"
"12693","2016","Hombres","Venustiano Carranza","00-04"
"12397","2017","Hombres","Venustiano Carranza","00-04"
"12142","2018","Hombres","Venustiano Carranza","00-04"
"11927","2019","Hombres","Venustiano Carranza","00-04"
"11752","2020","Hombres","Venustiano Carranza","00-04"
"11572","2021","Hombres","Venustiano Carranza","00-04"
"11379","2022","Hombres","Venustiano Carranza","00-04"
"11199","2023","Hombres","Venustiano Carranza","00-04"
"11031","2024","Hombres","Venustiano Carranza","00-04"
"10873","2025","Hombres","Venustiano Carranza","00-04"
"10723","2026","Hombres","Venustiano Carranza","00-04"
"10580","2027","Hombres","Venustiano Carranza","00-04"
"10441","2028","Hombres","Venustiano Carranza","00-04"
"10306","2029","Hombres","Venustiano Carranza","00-04"
"10171","2030","Hombres","Venustiano Carranza","00-04"
"12348","2015","Mujeres","Azcapotzalco","05-09"
"11934","2016","Mujeres","Azcapotzalco","05-09"
"11551","2017","Mujeres","Azcapotzalco","05-09"
"11179","2018","Mujeres","Azcapotzalco","05-09"
"10817","2019","Mujeres","Azcapotzalco","05-09"
"10462","2020","Mujeres","Azcapotzalco","05-09"
"10145","2021","Mujeres","Azcapotzalco","05-09"
"9877","2022","Mujeres","Azcapotzalco","05-09"
"9649","2023","Mujeres","Azcapotzalco","05-09"
"9460","2024","Mujeres","Azcapotzalco","05-09"
"9314","2025","Mujeres","Azcapotzalco","05-09"
"9187","2026","Mujeres","Azcapotzalco","05-09"
"9070","2027","Mujeres","Azcapotzalco","05-09"
