persona_id,hogar_id,vivienda_id,upm_diseno,estrato_diseno,anio,cobertura,edad,sexo_codigo,sexo,grupo_edad,factor,asiste_servicio_educativo_cuidado,razon_no_asiste_codigo,razon_no_asiste,horas_diarias_servicio,pago_mensual_servicio_pesos,pago_mensual_topado_98000,modulo_0a5_aplicable,recibio_cuidado_dentro_hogar,recibio_cuidado_otro_hogar,cuidado_otro_hogar_remunerado,pago_semanal_cuidado_externo_pesos,pago_semanal_topado_98000,necesita_mas_cuidado_modulo_0a5,complementaria_con_servicio_educativo_cuidado,cuidador_principal_parentesco_codigo,cuidador_principal_parentesco,cuidador_principal_sexo_codigo,cuidador_principal_edad,n_integrantes,n_ninos_0a5,n_adultos_18mas,barrera_economica_distancia_horario,necesidad_y_preferencia_servicio,P3_10,P3_11,P3_12,P3_14,PN_C0005,P4_16,P4_18,P4_18A,P4_19,P4_21,P4_22,P4_24,P4_25_2,cuidador_id,cuidador_cpea_codigo,cuidador_participa_mercado_laboral
46418102,464181,46418,00464,0068,2022,nacional,5,2,mujer,3-5,7886,1,,,3.0,20.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,27.0,3,2,1,,0.0,1,,3.0,20.0,1,1.0,01,1.0,2.0,,,2.0,,46418101,2.0,0.0
46418103,464181,46418,00464,0068,2022,nacional,3,1,hombre,3-5,7886,1,,,3.0,20.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,27.0,3,2,1,,0.0,1,,3.0,20.0,1,1.0,01,1.0,2.0,,,2.0,,46418101,2.0,0.0
46420104,464201,46420,00464,0068,2022,nacional,5,2,mujer,3-5,7886,1,,,3.0,50.0,0,1,1.0,0.0,,,0,0.0,,2.0,Padre,1.0,34.0,4,1,3,,0.0,1,,3.0,50.0,1,1.0,02,2.0,2.0,,,2.0,,46420102,1.0,1.0
46508105,465081,46508,00465,0068,2022,nacional,2,1,hombre,0-2,7103,1,,,6.0,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,20.0,5,1,4,,0.0,1,,6.0,99999.0,1,1.0,04,1.0,2.0,,,2.0,,46508104,1.0,1.0
46509104,465091,46509,00465,0068,2022,nacional,2,2,mujer,0-2,7103,1,,,7.0,1500.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,31.0,4,1,2,,0.0,1,,7.0,1500.0,1,1.0,02,1.0,2.0,,,2.0,,46509102,1.0,1.0
46601108,466011,46601,00466,0068,2022,nacional,3,2,mujer,3-5,6657,1,,,3.0,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,38.0,8,1,6,,0.0,1,,3.0,99999.0,1,1.0,06,1.0,2.0,,,2.0,,46601106,1.0,1.0
46604107,466041,46604,00466,0068,2022,nacional,4,2,mujer,3-5,6657,1,,,3.0,180.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,27.0,7,1,5,,0.0,1,,3.0,180.0,1,1.0,05,1.0,2.0,,,2.0,,46604105,1.0,1.0
46605103,466051,46605,00466,0068,2022,nacional,2,1,hombre,0-2,6657,1,,,4.0,679.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,21.0,3,1,2,,0.0,1,,4.0,679.0,1,1.0,02,1.0,2.0,,,2.0,,46605102,2.0,0.0
46607104,466071,46607,00466,0068,2022,nacional,1,1,hombre,0-2,6657,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,30.0,4,1,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,46607102,1.0,1.0
46610104,466101,46610,00466,0068,2022,nacional,4,2,mujer,3-5,6657,1,,,4.0,900.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,22.0,5,2,3,,0.0,1,,4.0,900.0,1,1.0,03,1.0,2.0,,,2.0,,46610103,2.0,0.0
