Alcaldia,Fecha,Categoria,Valor
Cuajimalpa de Morelos,2023-09-30,Hombres,11.3
Cuajimalpa de Morelos,2023-09-30,Mujeres,17.1
Cuajimalpa de Morelos,2023-12-31,Hombres,15.2
Cuajimalpa de Morelos,2023-12-31,Mujeres,17.5
Cuajimalpa de Morelos,2024-03-31,Hombres,9.2
Cuajimalpa de Morelos,2024-03-31,Mujeres,15.0
Cuajimalpa de Morelos,2024-06-30,Hombres,12.1
Cuajimalpa de Morelos,2024-06-30,Mujeres,13.5
Cuajimalpa de Morelos,2024-09-30,Hombres,13.6
Cuajimalpa de Morelos,2024-09-30,Mujeres,19.9
Iztapalapa,2016-12-31,Hombres,79.73
Iztapalapa,2017-03-31,Hombres,81.61
Iztapalapa,2017-06-30,Hombres,72.48
Iztapalapa,2017-09-30,Hombres,77.25
Iztapalapa,2017-12-31,Hombres,85.98
Iztapalapa,2018-03-31,Hombres,86.77
Iztapalapa,2018-06-30,Hombres,85.8
Iztapalapa,2018-09-30,Hombres,82.36
Iztapalapa,2018-12-31,Hombres,82.98
Iztapalapa,2019-03-31,Hombres,79.85
Iztapalapa,2019-06-30,Hombres,79.01
Iztapalapa,2019-09-30,Hombres,74.12
Iztapalapa,2019-12-31,Hombres,75.55
Iztapalapa,2020-03-31,Hombres,71.04
Iztapalapa,2020-12-31,Hombres,75.42
Iztapalapa,2021-03-31,Hombres,74.58
Iztapalapa,2021-06-30,Hombres,62.55
Iztapalapa,2021-09-30,Hombres,53.01
Iztapalapa,2021-12-31,Hombres,63.2
Iztapalapa,2022-03-31,Hombres,62.4
Iztapalapa,2022-06-30,Hombres,57.7
Iztapalapa,2022-09-30,Hombres,59.3
Iztapalapa,2022-12-31,Hombres,64.1
Iztapalapa,2023-03-31,Hombres,59.9
Iztapalapa,2023-06-30,Hombres,62.0
Iztapalapa,2023-09-30,Hombres,58.8
Iztapalapa,2023-12-31,Hombres,50.9
Iztapalapa,2024-03-31,Hombres,52.1
Iztapalapa,2024-06-30,Hombres,44.0
Iztapalapa,2024-09-30,Hombres,52.6
Iztapalapa,2024-12-31,Hombres,58.2
Iztapalapa,2025-03-31,Hombres,62.77
Iztapalapa,2025-06-30,Hombres,66.82
Iztapalapa,2025-09-30,Hombres,69.2
Iztapalapa,2025-12-31,Hombres,73.15
Iztapalapa,2026-03-31,Hombres,71.41
Iztapalapa,2026-06-30,Hombres,70.4
Benito Juárez,2017-03-31,Hombres,35.4
Benito Juárez,2017-03-31,Mujeres,42.3
Benito Juárez,2017-06-30,Hombres,21.4
Benito Juárez,2017-06-30,Mujeres,41.1
Benito Juárez,2017-09-30,Hombres,35.2
Benito Juárez,2017-09-30,Mujeres,47.9
Benito Juárez,2017-12-31,Hombres,31.1
Benito Juárez,2017-12-31,Mujeres,47.8
Benito Juárez,2018-03-31,Hombres,28.3
Benito Juárez,2018-03-31,Mujeres,30.4
Benito Juárez,2018-06-30,Hombres,31.4
Benito Juárez,2018-06-30,Mujeres,30.3
Benito Juárez,2018-09-30,Hombres,26.7
Benito Juárez,2018-09-30,Mujeres,31.9
Benito Juárez,2018-12-31,Hombres,28.8
Benito Juárez,2018-12-31,Mujeres,43.5
Benito Juárez,2019-03-31,Hombres,28.7
Benito Juárez,2019-03-31,Mujeres,35.4
Benito Juárez,2019-06-30,Hombres,30.2
Benito Juárez,2019-06-30,Mujeres,36.6
Benito Juárez,2019-09-30,Hombres,30.1
Benito Juárez,2019-09-30,Mujeres,25.1
Benito Juárez,2019-12-31,Hombres,29.6
Benito Juárez,2019-12-31,Mujeres,29.4
Benito Juárez,2020-09-30,Hombres,17.2
Benito Juárez,2020-09-30,Mujeres,24.5
Benito Juárez,2020-12-31,Hombres,14.6
Benito Juárez,2020-12-31,Mujeres,25.5
Benito Juárez,2021-06-30,Hombres,15.5
Benito Juárez,2021-06-30,Mujeres,21.0
Benito Juárez,2021-09-30,Hombres,12.1
Benito Juárez,2021-09-30,Mujeres,18.2
Benito Juárez,2021-12-31,Hombres,16.5
Benito Juárez,2021-12-31,Mujeres,18.5
Benito Juárez,2022-03-31,Hombres,14.3
Benito Juárez,2022-03-31,Mujeres,13.7
Benito Juárez,2022-06-30,Hombres,11.5
Benito Juárez,2022-06-30,Mujeres,15.2
Benito Juárez,2022-09-30,Hombres,14.1
Benito Juárez,2022-09-30,Mujeres,11.2
Benito Juárez,2022-12-31,Hombres,12.9
Benito Juárez,2022-12-31,Mujeres,11.1
Benito Juárez,2023-03-31,Hombres,12.7
Benito Juárez,2023-03-31,Mujeres,15.4
Benito Juárez,2023-06-30,Hombres,7.9
Benito Juárez,2023-06-30,Mujeres,17.7
Benito Juárez,2023-09-30,Hombres,8.8
Benito Juárez,2023-09-30,Mujeres,15.2
Benito Juárez,2023-12-31,Hombres,9.7
Benito Juárez,2023-12-31,Mujeres,17.0
Benito Juárez,2024-03-31,Hombres,9.3
Benito Juárez,2024-03-31,Mujeres,17.0
Benito Juárez,2024-06-30,Hombres,11.0
Benito Juárez,2024-06-30,Mujeres,14.0
Benito Juárez,2024-09-30,Hombres,10.2
Benito Juárez,2024-09-30,Mujeres,13.9
Xochimilco,2017-03-31,Hombres,36.4
Xochimilco,2017-03-31,Mujeres,35.9
Xochimilco,2017-06-30,Hombres,31.9
Xochimilco,2017-06-30,Mujeres,26.7
Xochimilco,2017-09-30,Hombres,27.5
Xochimilco,2017-09-30,Mujeres,38.4
Xochimilco,2017-12-31,Hombres,38.9
Xochimilco,2017-12-31,Mujeres,32.5
Xochimilco,2018-03-31,Hombres,29.5
Xochimilco,2018-03-31,Mujeres,37.9
Xochimilco,2018-06-30,Hombres,44.9
Xochimilco,2018-06-30,Mujeres,39.3
Xochimilco,2018-09-30,Hombres,28.2
Xochimilco,2018-09-30,Mujeres,42.3
Xochimilco,2018-12-31,Hombres,24.4
Xochimilco,2018-12-31,Mujeres,57.3
Xochimilco,2019-03-31,Hombres,38.6
Xochimilco,2019-03-31,Mujeres,45.1
Xochimilco,2019-06-30,Hombres,34.9
Xochimilco,2019-06-30,Mujeres,46.1
Xochimilco,2019-09-30,Hombres,31.9
Xochimilco,2019-09-30,Mujeres,43.2
Xochimilco,2019-12-31,Hombres,29.6
Xochimilco,2019-12-31,Mujeres,42.1
Xochimilco,2020-09-30,Hombres,27.0
Xochimilco,2020-09-30,Mujeres,37.8
Xochimilco,2020-12-31,Hombres,30.1
Xochimilco,2020-12-31,Mujeres,39.9
Xochimilco,2021-06-30,Hombres,30.1
Xochimilco,2021-06-30,Mujeres,40.7
Xochimilco,2021-09-30,Hombres,28.4
Xochimilco,2021-09-30,Mujeres,37.2
Xochimilco,2021-12-31,Hombres,29.9
Xochimilco,2021-12-31,Mujeres,36.7
Xochimilco,2022-03-31,Hombres,26.2
Xochimilco,2022-03-31,Mujeres,39.0
Xochimilco,2022-06-30,Hombres,28.7
Xochimilco,2022-06-30,Mujeres,36.7
Xochimilco,2022-09-30,Hombres,25.2
Xochimilco,2022-09-30,Mujeres,30.8
Xochimilco,2022-12-31,Hombres,28.9
Xochimilco,2022-12-31,Mujeres,37.2
Xochimilco,2023-03-31,Hombres,22.8
Xochimilco,2023-03-31,Mujeres,34.8
Xochimilco,2023-06-30,Hombres,25.8
Xochimilco,2023-06-30,Mujeres,30.9
Xochimilco,2023-09-30,Hombres,25.9
Xochimilco,2023-09-30,Mujeres,33.7
Xochimilco,2023-12-31,Hombres,18.5
Xochimilco,2023-12-31,Mujeres,35.0
Xochimilco,2024-03-31,Hombres,24.5
Xochimilco,2024-03-31,Mujeres,32.5
Xochimilco,2024-06-30,Hombres,21.9
Xochimilco,2024-06-30,Mujeres,30.2
Xochimilco,2024-09-30,Hombres,25.8
Xochimilco,2024-09-30,Mujeres,31.6
Tlalpan,2017-03-31,Hombres,29.4
Tlalpan,2017-03-31,Mujeres,39.9
Tlalpan,2017-06-30,Hombres,33.7
Tlalpan,2017-06-30,Mujeres,40.4
Tlalpan,2017-09-30,Hombres,35.2
Tlalpan,2017-09-30,Mujeres,46.6
Tlalpan,2017-12-31,Hombres,34.3
Tlalpan,2017-12-31,Mujeres,31.0
Tlalpan,2018-03-31,Hombres,40.8
Tlalpan,2018-03-31,Mujeres,31.9
Tlalpan,2018-06-30,Hombres,31.4
Tlalpan,2018-06-30,Mujeres,44.1
Tlalpan,2018-09-30,Hombres,35.5
Tlalpan,2018-09-30,Mujeres,42.4
Tlalpan,2018-12-31,Hombres,28.8
Tlalpan,2018-12-31,Mujeres,30.4
Tlalpan,2019-03-31,Hombres,28.1
Tlalpan,2019-03-31,Mujeres,42.2
Tlalpan,2019-06-30,Hombres,30.9
Tlalpan,2019-06-30,Mujeres,37.7
Tlalpan,2019-09-30,Hombres,29.0
Tlalpan,2019-09-30,Mujeres,38.7
Tlalpan,2019-12-31,Hombres,28.1
Tlalpan,2019-12-31,Mujeres,44.2
Tlalpan,2020-09-30,Hombres,27.7
Tlalpan,2020-09-30,Mujeres,42.3
Tlalpan,2020-12-31,Hombres,27.5
Tlalpan,2020-12-31,Mujeres,43.2
Tlalpan,2021-06-30,Hombres,30.3
Tlalpan,2021-06-30,Mujeres,39.2
Tlalpan,2021-09-30,Hombres,25.6
Tlalpan,2021-09-30,Mujeres,35.2
Tlalpan,2021-12-31,Hombres,25.3
Tlalpan,2021-12-31,Mujeres,37.9
Tlalpan,2022-03-31,Hombres,25.1
